# index, _pos
263,"array([ 140.19041596, -135.54965821])"
264,"array([ 146.40101995, -124.93668989])"
265,"array([ 148.14054324, -125.08487193])"
266,"array([ 139.19490011, -140.74579127])"
267,"array([ 139.28344566, -155.77593399])"
268,"array([ 148.60239233, -140.89102908])"
269,"array([ 140.61018699, -137.55448122])"
270,"array([ 140.37383592, -147.83693621])"
271,"array([ 140.37347954, -149.07925465])"
272,"array([ 147.90911636, -141.21586512])"
273,"array([ 131.28145471, -147.04531837])"
274,"array([ 134.824442  , -144.67477445])"
275,"array([ 149.43066403, -130.25871439])"
276,"array([ 140.89266053, -133.98042263])"
277,"array([ 137.89305603, -126.78581154])"
278,"array([ 144.24802654, -130.04525929])"
279,"array([ 137.41805356, -136.59304873])"
280,"array([160.08951311, -96.1887982 ])"
281,"array([ 156.46479188, -101.99297211])"
282,"array([ 127.59958363, -146.07776022])"
283,"array([ 144.64103982, -134.6760143 ])"
284,"array([ 149.99793264, -130.4952907 ])"
285,"array([ 147.28625002, -127.50950115])"
286,"array([ 144.93257498, -138.41904129])"
287,"array([ 154.49576701, -129.24159859])"
288,"array([ 161.01320575, -116.85310708])"
289,"array([ 156.7562738 , -129.06985888])"
290,"array([ 151.53001372, -124.09770646])"
291,"array([ 131.10012159, -153.39338652])"
292,"array([ 131.59561036, -157.2941842 ])"
293,"array([ 147.91252721, -133.35534545])"
294,"array([ 132.50671642, -117.5650209 ])"
295,"array([ 129.60664324, -114.70295902])"
296,"array([ 570.53827724, 2303.12415052])"
297,"array([ 155.28840988, -131.21370574])"
298,"array([ 128.69504572, -136.85972025])"
299,"array([ 161.61324274, -135.84626525])"
300,"array([ 144.47707853, -125.1969653 ])"
301,"array([ 147.24510126, -123.08292214])"
302,"array([ 147.66286333, -140.62315424])"
303,"array([ 146.63526952, -128.81295092])"
304,"array([ 134.7031309 , -153.72085189])"
305,"array([152.98117814, -91.83334096])"
306,"array([ 131.01359031, -132.37490755])"
307,"array([ 139.86093347, -132.38823843])"
308,"array([ 168.61422214, -103.13471818])"
309,"array([ 153.09797159, -136.99214107])"
310,"array([ 148.83181489, -128.58491766])"
311,"array([ 141.55078088, -130.47717916])"
312,"array([ 134.81203902, -129.86136802])"
313,"array([ 132.88653661, -133.09677937])"
314,"array([ 158.59973235, -113.22909617])"
315,"array([ 151.33984727, -157.55610005])"
316,"array([ 146.27135348, -147.74170895])"
317,"array([ 140.53839596, -120.72133874])"
318,"array([ 138.70024149, -136.99943419])"
319,"array([ 146.58532817, -133.5804478 ])"
320,"array([ 146.57797889, -137.83636407])"
321,"array([ 140.09349173, -136.27062251])"
322,"array([ 138.55604753, -124.88953124])"
323,"array([ 165.28707089, -111.25010327])"
324,"array([ 148.00036288, -157.58492472])"
325,"array([ 148.81065964, -162.49959103])"
326,"array([ 136.07468086, -150.04504517])"
327,"array([ 138.26812299, -145.05537698])"
328,"array([ 117.34087197, -135.09612805])"
329,"array([ 132.82138162, -142.24327019])"
330,"array([ 147.37912058, -141.48828982])"
331,"array([ 151.24387626, -137.22362527])"
332,"array([ 147.04101729, -144.14576564])"
333,"array([ 145.05831616, -141.51426095])"
334,"array([ 149.98056504, -104.14330491])"
335,"array([ 154.09232028, -118.02035793])"
336,"array([ 150.53459804, -105.08893763])"
337,"array([ 143.92320893, -121.63455115])"
338,"array([ 147.41098116, -152.32830371])"
339,"array([ 149.37176785, -120.00812129])"
340,"array([ 147.91835231, -134.11523687])"
341,"array([ 150.56945008, -140.24658816])"
342,"array([ 157.1711321 , -114.26049843])"
343,"array([ 141.63465403, -134.59726715])"
344,"array([ 139.09542896, -135.71500755])"
345,"array([ 114.29259677, -130.19751379])"
346,"array([ 139.78693716, -144.32049294])"
347,"array([ 1729.84774712, -2104.34270195])"
348,"array([ 149.41916482, -142.0185435 ])"
349,"array([197.72007314, -80.76073251])"
350,"array([188.07468158, -90.79106133])"
351,"array([ 137.49418784, -136.84010719])"
352,"array([ 157.15689394, -183.31906846])"
353,"array([ 165.49593415, -166.67907825])"
354,"array([ 135.6273297 , -135.65236139])"
355,"array([ 139.2295856 , -134.75442596])"
356,"array([ 135.53369716, -130.27395541])"
357,"array([ 135.85863481, -128.86448854])"
358,"array([ 160.40597428, -127.78788796])"
359,"array([ 160.48830607, -122.4498493 ])"
360,"array([ 145.36034995, -140.38776267])"
361,"array([ 145.73818363, -135.07341383])"
362,"array([ 139.67328986, -137.26597792])"
363,"array([ 146.2769027 , -135.75047202])"
364,"array([ 141.70506656, -128.06069559])"
365,"array([ 141.65287138, -128.88268656])"
366,"array([ 151.10092115, -115.50480319])"
367,"array([ 144.47541028, -128.35423536])"
368,"array([ 147.49932233, -136.46262531])"
369,"array([ 136.22548507, -120.8735128 ])"
370,"array([ 128.29928663, -114.80726087])"
371,"array([ 111.06308413, -125.99968985])"
372,"array([ 123.56345141, -117.55443549])"
373,"array([ 138.3556663 , -134.41579565])"
374,"array([ 142.1744627 , -139.90259525])"
375,"array([ 144.92669371, -158.40448333])"
376,"array([ 124.11587611, -171.85891917])"
377,"array([ 145.40848971, -153.31382589])"
378,"array([ 147.13755204, -136.47780899])"
379,"array([ 153.38765454, -129.78953241])"
380,"array([ -212.53051325, -2626.20024127])"
381,"array([ 147.35584979, -141.81094085])"
382,"array([ 145.52424026, -144.36059243])"
383,"array([ 137.43143261, -144.71101991])"
384,"array([ 152.16360429, -136.64916365])"
385,"array([ 138.13334877, -144.85827605])"
386,"array([ 143.49947045, -137.66210052])"
387,"array([ 135.83531584, -124.59439462])"
388,"array([ 143.58578135, -144.01071387])"
389,"array([ 140.52622065, -134.46837782])"
390,"array([ 145.23830302, -138.4389779 ])"
391,"array([ 138.47548995, -145.64613492])"
392,"array([ 146.05175636, -151.34216305])"
393,"array([ 144.90072394, -140.33912083])"
394,"array([ 144.23748392, -137.55213945])"
395,"array([ 115.15687812, -163.68505469])"
396,"array([ 154.96791095, -129.60002975])"
397,"array([ 158.36322681, -133.1507817 ])"
398,"array([ 154.76751957, -132.31106991])"
399,"array([ 135.84869916, -167.48510595])"
400,"array([ 127.88002413, -142.06198206])"
401,"array([ 135.23124813, -130.0348488 ])"
402,"array([ 158.20723413, -146.92755672])"
403,"array([ 163.1211436 , -139.66208618])"
404,"array([-1293.35706576,   399.39594354])"
405,"array([ 128.59640798, -133.11697609])"
406,"array([ 1042.54561351, -2078.55292959])"
407,"array([ 156.70198377, -135.50510451])"
408,"array([ 132.69236494, -153.91752014])"
409,"array([ 133.92935287, -152.47379147])"
410,"array([ 145.95796394, -128.21330029])"
411,"array([ 150.99606642, -131.11523722])"
412,"array([ 125.46010501, -150.22446366])"
413,"array([ 134.52247955, -139.54666273])"
414,"array([ 115.6323853 , -140.25033815])"
415,"array([ 128.44451338, -142.72429194])"
416,"array([ 135.80529509, -148.97728174])"
417,"array([ 132.63122009, -149.296997  ])"
418,"array([ 130.08903443, -116.06006757])"
419,"array([ 128.42741573, -114.23943235])"
420,"array([ 156.07031763, -135.2521045 ])"
